city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Raipur,2026-02-12 18:47:55.129349,,73.1,75.2,537.0,26.0,107.0,28.2
Bhubaneswar,2026-02-12 18:47:57.898824,,68.0,70.3,574.0,15.4,131.0,19.4
Thiruvananthapuram,2026-02-12 18:48:00.055941,,35.0,39.2,285.0,3.0,170.0,5.7
Kochi,2026-02-12 18:48:02.394010,,36.3,38.0,256.0,9.3,150.0,5.1
Mysuru,2026-02-12 18:48:04.589091,,14.4,15.5,232.0,8.0,109.0,3.5
Jodhpur,2026-02-12 18:48:07.740788,,26.5,32.9,334.0,6.8,121.0,6.1
Udaipur,2026-02-12 18:48:10.401299,,38.8,40.9,333.0,4.1,131.0,10.4
Gwalior,2026-02-12 18:48:12.946562,,31.9,45.9,374.0,8.0,100.0,8.5
Jabalpur,2026-02-12 18:48:15.920009,,44.6,46.4,318.0,7.8,106.0,8.4
Agra,2026-02-12 18:48:17.969556,,51.5,59.8,464.0,27.1,90.0,17.6
Meerut,2026-02-12 18:48:21.548540,,35.9,38.3,456.0,19.5,104.0,21.0
Noida,2026-02-12 18:48:23.800598,,40.4,42.8,702.0,29.8,94.0,21.2
Gurugram,2026-02-12 18:48:26.460770,,40.4,42.8,1138.0,29.8,94.0,21.2
Faridabad,2026-02-12 18:48:29.204817,,40.4,42.8,738.0,29.8,94.0,21.2
Ghaziabad,2026-02-12 18:48:32.206410,,35.9,38.3,642.0,19.5,104.0,21.0
Panipat,2026-02-12 18:48:34.000895,,40.7,74.5,626.0,14.6,84.0,11.3
Sonipat,2026-02-12 18:48:36.288354,,39.0,41.7,593.0,24.8,98.0,21.7
Hisar,2026-02-12 18:48:38.453012,,37.0,38.4,464.0,16.4,78.0,5.6
Rohtak,2026-02-12 18:48:41.326142,,36.9,38.5,701.0,16.3,86.0,6.7
Bareilly,2026-02-12 18:48:43.677831,,28.9,30.6,344.0,8.6,113.0,11.6
Aligarh,2026-02-12 18:48:46.400778,,35.2,38.4,490.0,13.5,124.0,19.1
Moradabad,2026-02-12 18:48:49.304410,,32.2,33.5,432.0,10.8,105.0,12.2
Prayagraj,2026-02-12 18:48:53.196757,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:48:57.090601,,36.8,39.5,286.0,8.4,114.0,12.1
Deoghar,2026-02-12 18:48:58.673896,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:49:01.393887,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:49:03.329069,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:49:06.025482,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:49:07.559707,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:49:09.473917,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:49:11.780485,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:49:14.108662,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:49:17.770874,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:49:21.026385,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:49:22.691924,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:49:24.539786,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:49:26.097193,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:49:27.718087,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:49:29.560393,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:49:31.205509,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:49:33.063259,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:49:37.123276,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:49:39.546488,,20.3,22.4,223.0,5.8,114.0,4.6
Warangal,2026-02-12 18:49:41.805755,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:49:43.676012,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:49:48.397224,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:49:50.435634,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:49:51.966238,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:49:53.917385,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:49:57.397623,,18.6,20.6,267.0,5.3,101.0,3.1
Pondicherry,2026-02-12 18:50:00.165234,,21.0,26.0,257.0,2.8,112.0,2.7
Delhi,2026-02-12 18:52:29.613780,,39.0,41.7,647.0,24.8,98.0,21.7
Mumbai,2026-02-12 18:52:31.726707,,66.8,68.7,524.0,27.0,265.0,28.1
Kolkata,2026-02-12 18:52:33.591218,,71.5,78.2,775.0,28.3,119.0,29.6
Chennai,2026-02-12 18:52:35.480970,,19.6,24.4,278.0,5.2,101.0,3.5
Bengaluru,2026-02-12 18:52:37.941690,,16.7,17.5,499.0,14.4,90.0,4.6
Hyderabad,2026-02-12 18:52:39.867975,,29.6,30.7,496.0,9.6,135.0,12.3
Pune,2026-02-12 18:52:42.191454,,28.4,29.5,350.0,9.8,140.0,7.4
Ahmedabad,2026-02-12 18:52:44.344347,,52.2,53.6,389.0,17.3,125.0,17.8
Jaipur,2026-02-12 18:52:46.213182,,31.7,40.4,416.0,9.8,131.0,8.9
Lucknow,2026-02-12 18:52:48.046826,,37.1,41.8,397.0,12.4,99.0,13.7
Chandigarh,2026-02-12 18:52:50.905460,,48.3,49.9,770.0,15.9,119.0,21.9
Bhopal,2026-02-12 18:52:52.433423,,51.5,53.0,409.0,5.8,112.0,9.3
Indore,2026-02-12 18:52:54.350061,,55.4,56.7,474.0,11.1,122.0,11.8
Nagpur,2026-02-12 18:52:56.923415,,60.3,61.9,429.0,22.6,146.0,43.5
Surat,2026-02-12 18:52:58.964627,,94.5,95.2,525.0,98.8,65.0,141.8
Patna,2026-02-12 18:53:00.993189,,71.2,76.6,502.0,15.7,117.0,19.3
Ranchi,2026-02-12 18:53:03.169203,,28.6,34.2,239.0,5.0,117.0,8.7
Guwahati,2026-02-12 18:53:04.761295,,33.5,36.0,701.0,9.2,100.0,4.5
Dehradun,2026-02-12 18:53:06.307976,,41.4,43.5,540.0,14.9,129.0,19.6
Shimla,2026-02-12 18:53:08.135387,,33.4,36.6,410.0,11.9,130.0,16.7
Srinagar,2026-02-12 18:53:10.123974,,53.4,61.2,1821.0,33.0,133.0,16.1
Varanasi,2026-02-12 18:53:12.049114,,47.6,54.1,574.0,13.0,105.0,13.7
Kanpur,2026-02-12 18:53:13.686409,,39.0,46.7,432.0,16.2,97.0,12.9
Amritsar,2026-02-12 18:53:15.191726,,56.9,60.1,972.0,29.7,94.0,13.9
Ludhiana,2026-02-12 18:53:18.412856,,64.5,65.4,647.0,24.7,67.0,9.8
Coimbatore,2026-02-12 18:53:20.388742,,18.7,20.5,281.0,8.2,121.0,5.4
Madurai,2026-02-12 18:53:24.268777,,25.5,27.5,247.0,8.9,108.0,6.3
Visakhapatnam,2026-02-12 18:53:26.779774,,42.7,45.2,534.0,24.9,125.0,14.7
Vijayawada,2026-02-12 18:53:28.864764,,43.7,44.8,291.0,6.1,126.0,12.9
Raipur,2026-02-12 18:53:30.707473,,73.1,75.2,537.0,26.0,107.0,28.2
Bhubaneswar,2026-02-12 18:53:33.171490,,68.0,70.3,574.0,15.4,131.0,19.4
Thiruvananthapuram,2026-02-12 18:53:37.873968,,35.0,39.2,285.0,3.0,170.0,5.7
Kochi,2026-02-12 18:53:40.255574,,36.3,38.0,256.0,9.3,150.0,5.1
Mysuru,2026-02-12 18:53:42.177163,,14.4,15.5,232.0,8.0,109.0,3.5
Jodhpur,2026-02-12 18:53:44.346692,,26.5,32.9,334.0,6.8,121.0,6.1
Udaipur,2026-02-12 18:53:46.372082,,38.8,40.9,333.0,4.1,131.0,10.4
Gwalior,2026-02-12 18:53:49.264170,,31.9,45.9,374.0,8.0,100.0,8.5
Jabalpur,2026-02-12 18:53:51.286860,,44.6,46.4,318.0,7.8,106.0,8.4
Agra,2026-02-12 18:53:53.444389,,51.5,59.8,464.0,27.1,90.0,17.6
Meerut,2026-02-12 18:53:55.794625,,35.9,38.3,456.0,19.5,104.0,21.0
Noida,2026-02-12 18:53:58.562782,,40.4,42.8,702.0,29.8,94.0,21.2
Gurugram,2026-02-12 18:54:00.616027,,40.4,42.8,1138.0,29.8,94.0,21.2
Faridabad,2026-02-12 18:54:02.925351,,40.4,42.8,738.0,29.8,94.0,21.2
Ghaziabad,2026-02-12 18:54:05.089727,,35.9,38.3,642.0,19.5,104.0,21.0
Panipat,2026-02-12 18:54:07.056952,,40.7,74.5,626.0,14.6,84.0,11.3
Sonipat,2026-02-12 18:54:08.972564,,39.0,41.7,593.0,24.8,98.0,21.7
Hisar,2026-02-12 18:54:11.042765,,37.0,38.4,464.0,16.4,78.0,5.6
Rohtak,2026-02-12 18:54:13.223049,,36.9,38.5,701.0,16.3,86.0,6.7
Bareilly,2026-02-12 18:54:16.150282,,28.9,30.6,344.0,8.6,113.0,11.6
Aligarh,2026-02-12 18:54:19.630105,,35.2,38.4,490.0,13.5,124.0,19.1
Moradabad,2026-02-12 18:54:21.645793,,32.2,33.5,432.0,10.8,105.0,12.2
Prayagraj,2026-02-12 18:54:23.854896,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:54:27.662584,,36.8,39.5,286.0,8.4,114.0,12.1
Deoghar,2026-02-12 18:54:30.135630,,46.4,52.0,296.0,8.7,125.0,10.5
Dhanbad,2026-02-12 18:54:33.918358,,48.8,55.3,233.0,25.6,95.0,28.2
Siliguri,2026-02-12 18:54:36.108545,,54.0,59.0,927.0,16.9,131.0,10.2
Asansol,2026-02-12 18:54:40.283716,,46.3,52.3,318.0,17.7,105.0,23.5
Jamshedpur,2026-02-12 18:54:42.446077,,50.5,60.5,317.0,25.7,107.0,32.8
Cuttack,2026-02-12 18:54:45.158235,,68.0,70.3,520.0,15.4,131.0,19.4
Rourkela,2026-02-12 18:54:50.575575,,39.2,45.9,781.0,17.2,96.0,14.8
Sambalpur,2026-02-12 18:54:54.791312,,62.4,65.9,499.0,11.0,141.0,25.8
Aurangabad,2026-02-12 18:54:57.468392,,38.4,39.5,412.0,4.7,150.0,8.7
Nashik,2026-02-12 18:54:59.761256,,36.7,37.6,365.0,9.5,148.0,8.8
Solapur,2026-02-12 18:55:02.121406,,25.8,26.8,402.0,4.6,148.0,7.6
Kolhapur,2026-02-12 18:55:03.618392,,32.7,33.9,385.0,19.6,118.0,7.7
Vadodara,2026-02-12 18:55:05.778517,,61.5,62.2,436.0,24.3,135.0,15.0
Rajkot,2026-02-12 18:55:08.194762,,36.3,38.2,295.0,5.4,136.0,10.6
Gandhinagar,2026-02-12 18:55:09.811009,,55.6,57.2,608.0,19.0,111.0,16.5
Tiruchirappalli,2026-02-12 18:55:11.368432,,31.0,32.5,286.0,9.1,117.0,16.4
Salem,2026-02-12 18:55:14.286978,,19.9,22.4,246.0,8.8,106.0,8.2
Erode,2026-02-12 18:55:16.060211,,21.5,24.1,242.0,9.7,116.0,5.1
Tirunelveli,2026-02-12 18:55:19.423098,,20.3,22.4,223.0,5.8,114.0,4.6
Warangal,2026-02-12 18:55:22.283927,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:55:24.429500,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:55:26.651083,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:55:28.183150,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:55:30.436121,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:55:32.602767,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:55:34.454202,,18.6,20.6,267.0,5.3,101.0,3.1
Pondicherry,2026-02-12 18:55:36.009389,,21.0,26.0,257.0,2.8,112.0,2.7
