city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Surat,2026-02-12 18:22:48.444143,,86.1,86.8,511.0,82.2,87.0,139.7
Patna,2026-02-12 18:22:50.748807,,65.2,71.5,457.0,12.1,134.0,18.7
Ranchi,2026-02-12 18:22:53.325622,,25.7,31.8,225.0,3.6,125.0,7.5
Guwahati,2026-02-12 18:22:56.440315,,29.4,31.8,588.0,7.4,109.0,4.1
Dehradun,2026-02-12 18:22:58.834433,,31.8,34.2,455.0,7.3,142.0,15.0
Shimla,2026-02-12 18:23:00.785300,,26.5,29.7,327.0,5.3,142.0,15.3
Srinagar,2026-02-12 18:23:02.434283,,36.4,42.3,1501.0,21.6,153.0,11.5
Varanasi,2026-02-12 18:23:04.850858,,39.0,45.3,490.0,8.5,118.0,11.4
Kanpur,2026-02-12 18:23:06.480610,,29.3,36.7,378.0,9.2,112.0,10.4
Amritsar,2026-02-12 18:23:08.277452,,37.4,40.5,723.0,14.7,119.0,11.4
Ludhiana,2026-02-12 18:23:10.409678,,44.0,45.2,496.0,11.9,87.0,6.9
Coimbatore,2026-02-12 18:23:12.390298,,16.9,18.9,220.0,2.8,137.0,4.7
Madurai,2026-02-12 18:23:14.677636,,19.3,22.1,221.0,4.4,117.0,4.3
Visakhapatnam,2026-02-12 18:23:17.267473,,41.4,44.0,523.0,21.8,136.0,15.9
Vijayawada,2026-02-12 18:23:18.785825,,39.8,41.1,277.0,5.3,137.0,13.9
Raipur,2026-02-12 18:23:20.643293,,61.5,63.3,424.0,19.0,123.0,25.8
Bhubaneswar,2026-02-12 18:23:22.152382,,65.9,68.5,516.0,15.7,139.0,20.4
Thiruvananthapuram,2026-02-12 18:23:23.707143,,35.5,39.7,241.0,2.9,175.0,6.0
Kochi,2026-02-12 18:23:25.219885,,34.0,35.6,250.0,5.6,167.0,4.6
Mysuru,2026-02-12 18:23:27.414228,,11.8,13.0,204.0,3.4,123.0,2.9
Jodhpur,2026-02-12 18:23:29.294566,,24.7,31.3,312.0,2.5,138.0,6.1
Udaipur,2026-02-12 18:23:31.134971,,36.8,39.1,281.0,1.6,149.0,11.0
Gwalior,2026-02-12 18:23:33.392575,,27.0,41.0,330.0,5.0,108.0,7.8
Jabalpur,2026-02-12 18:23:35.538680,,41.9,43.7,292.0,4.8,117.0,8.2
Agra,2026-02-12 18:23:40.040563,,34.2,42.5,399.0,14.8,111.0,11.9
Meerut,2026-02-12 18:23:44.241200,,28.1,30.6,388.0,13.4,120.0,19.2
Noida,2026-02-12 18:23:45.779771,,28.1,31.5,500.0,17.8,115.0,18.4
Gurugram,2026-02-12 18:23:48.234547,,28.1,31.5,706.0,17.8,115.0,18.4
